genus,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Buccal decile 10 (cervical),Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Buccal decile 10 (cervical)
Pan_troglodytes,NA,NA,NA,NA,NA,NA,NA,NA,14.2984808,22.3413762,19.6604111,19.6604111,22.3413762,18.766756,17.873101,14.2984808
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,9.52380952,10.4761905,10.4761905,12.3809524,12.3809524,14.2857143,16.1904762,16.1904762
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,8.99280576,8.99280576,9.89208633,11.6906475,11.6906475,13.4892086,15.2877698,17.0863309
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,11.44641,13.5275754,14.5681582,15.6087409,15.6087409,16.6493236,22.89282,26.0145682
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,9.70873786,13.592233,15.5339806,13.592233,18.4466019,26.2135922,32.038835,34.9514563
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,9.25925926,10.2880658,10.2880658,11.3168724,12.345679,21.6049383,20.5761317,20.5761317
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,8.06451613,9.07258065,12.0967742,11.0887097,20.1612903,15.1209677,23.1854839,31.25
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,10.5457422,10.5457422,13.1821777,15.8186132,19.7732665,18.4550488,23.7279199,18.4550488
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,6.97999069,8.14332248,9.30665426,10.469986,13.9599814,17.4499767,22.1033039,22.1033039
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,5.79710145,8.69565217,13.0434783,11.5942029,15.942029,17.3913044,21.7391304,21.7391304
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,6.0516988,7.7807556,8.645284,10.3743408,11.2388692,12.1033976,14.6969828,11.2388692
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,8.98382911,9.98203234,12.976642,14.9730485,12.976642,18.9658615,19.9640647,16.969455
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,8.71586287,10.6527213,12.5895797,14.5264381,14.5264381,15.4948673,17.4317257,16.4632965
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,6.68640749,8.59680963,8.59680963,10.5072118,12.4176139,12.4176139,13.372815,12.4176139
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,6.45220758,7.37395152,10.1391833,11.0609273,15.669647,16.5913909,18.4348788,16.5913909
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,6.58823529,6.58823529,13.1764706,13.1764706,16,17.8823529,20.7058824,16.9411765
